local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
-2.462103,-10.737064,0.000000,0.000000,16
-2.448202,-11.098955,0.000000,0.000000,16
-2.432065,-11.252736,0.000000,0.000000,16
-2.417375,-11.319771,0.000000,0.000000,16
-2.417817,-11.319293,0.000000,0.000000,16
-2.419065,-11.317966,0.000000,0.000000,16
-2.420940,-11.316611,0.000000,0.000000,16
-2.423326,-11.315542,0.000000,0.000000,16
-2.425914,-11.314894,0.000000,0.000000,16
-2.428470,-11.314574,0.000000,0.000000,16
-2.430850,-11.314578,0.000000,0.000000,16
-2.432812,-11.314860,0.000000,0.000000,16
-2.434222,-11.315240,0.000000,0.000000,16
-2.435083,-11.315507,0.000000,0.000000,16
-2.435523,-11.315539,0.000000,0.000000,16
-2.433900,-11.313535,0.000000,0.000000,16
-2.424909,-11.304210,0.000000,0.000000,16
-2.417339,-11.297178,0.000000,0.000000,16
-2.417670,-11.297136,0.000000,0.000000,16
-2.418175,-11.297168,0.000000,0.000000,16
-2.418815,-11.297215,0.000000,0.000000,16
-2.419535,-11.297232,0.000000,0.000000,16
-2.420250,-11.297191,0.000000,0.000000,16
-2.419806,-11.297079,0.000000,0.000000,16
-2.407978,-11.297506,0.000000,0.000000,16
-2.377955,-11.300708,0.000000,0.000000,16
-2.331055,-11.309332,0.000000,0.000000,16
-2.265528,-11.329912,0.000000,0.000000,16
-2.193350,-11.364581,0.000000,0.000000,16
-2.118069,-11.415300,0.000000,0.000000,16
-2.064204,-11.466063,0.000000,0.000000,16
-2.040359,-11.497418,0.000000,0.000000,16
-2.033059,-11.510665,0.000000,0.000000,16
-2.033351,-11.509127,0.000000,0.000000,16
-2.033470,-11.507811,0.000000,0.000000,16
-2.033491,-11.506724,0.000000,0.000000,16
-2.033460,-11.505893,0.000000,0.000000,16
-2.033354,-11.505489,0.000000,0.000000,16
-2.020778,-11.532820,0.000000,0.000000,16
-1.985337,-11.585677,0.000000,0.000000,16
-1.932151,-11.642703,0.000000,0.000000,16
-1.863697,-11.698016,0.000000,0.000000,16
-1.754654,-11.763193,0.000000,0.000000,16
-1.642258,-11.809499,0.000000,0.000000,16
-1.541616,-11.836575,0.000000,0.000000,16
-1.451336,-11.853156,0.000000,0.000000,16
-1.369331,-11.867027,0.000000,0.000000,16
-2.462103,-10.737064,0.000000,0.000000,17
-2.448202,-11.098955,0.000000,0.000000,17
-2.432065,-11.252736,0.000000,0.000000,17
-2.417375,-11.319771,0.000000,0.000000,17
-2.417817,-11.319293,0.000000,0.000000,17
-2.419065,-11.317966,0.000000,0.000000,17
-2.420940,-11.316611,0.000000,0.000000,17
-2.423326,-11.315542,0.000000,0.000000,17
-2.425914,-11.314894,0.000000,0.000000,17
-2.428470,-11.314574,0.000000,0.000000,17
-2.430850,-11.314578,0.000000,0.000000,17
-2.432812,-11.314860,0.000000,0.000000,17
-2.434222,-11.315240,0.000000,0.000000,17
-2.435083,-11.315507,0.000000,0.000000,17
-2.435523,-11.315539,0.000000,0.000000,17
-2.433900,-11.313535,0.000000,0.000000,17
-2.424909,-11.304210,0.000000,0.000000,17
-2.417339,-11.297178,0.000000,0.000000,17
-2.417670,-11.297136,0.000000,0.000000,17
-2.418175,-11.297168,0.000000,0.000000,17
-2.418815,-11.297215,0.000000,0.000000,17
-2.419535,-11.297232,0.000000,0.000000,17
-2.420250,-11.297191,0.000000,0.000000,17
-2.419806,-11.297079,0.000000,0.000000,17
-2.407978,-11.297506,0.000000,0.000000,17
-2.377955,-11.300708,0.000000,0.000000,17
-2.331055,-11.309332,0.000000,0.000000,17
-2.265528,-11.329912,0.000000,0.000000,17
-2.193350,-11.364581,0.000000,0.000000,17
-2.118069,-11.415300,0.000000,0.000000,17
-2.064204,-11.466063,0.000000,0.000000,17
-2.040359,-11.497418,0.000000,0.000000,17
-2.033059,-11.510665,0.000000,0.000000,17
-2.033351,-11.509127,0.000000,0.000000,17
-2.033470,-11.507811,0.000000,0.000000,17
-2.033491,-11.506724,0.000000,0.000000,17
-2.033460,-11.505893,0.000000,0.000000,17
-2.033354,-11.505489,0.000000,0.000000,17
-2.020778,-11.532820,0.000000,0.000000,17
-1.985337,-11.585677,0.000000,0.000000,17
-1.932151,-11.642703,0.000000,0.000000,17
-1.863697,-11.698016,0.000000,0.000000,17
-1.754654,-11.763193,0.000000,0.000000,17
-1.642258,-11.809499,0.000000,0.000000,17
-1.541616,-11.836575,0.000000,0.000000,17
-1.451336,-11.853156,0.000000,0.000000,17
-1.369331,-11.867027,0.000000,0.000000,17
-2.462103,-10.737064,0.000000,0.000000,24
-2.448202,-11.098955,0.000000,0.000000,24
-2.432065,-11.252736,0.000000,0.000000,24
-2.417375,-11.319771,0.000000,0.000000,24
-2.417817,-11.319293,0.000000,0.000000,24
-2.419065,-11.317966,0.000000,0.000000,24
-2.420940,-11.316611,0.000000,0.000000,24
-2.423326,-11.315542,0.000000,0.000000,24
-2.425914,-11.314894,0.000000,0.000000,24
-2.428470,-11.314574,0.000000,0.000000,24
-2.430850,-11.314578,0.000000,0.000000,24
-2.432812,-11.314860,0.000000,0.000000,24
-2.434222,-11.315240,0.000000,0.000000,24
-2.435083,-11.315507,0.000000,0.000000,24
-2.435523,-11.315539,0.000000,0.000000,24
-2.433900,-11.313535,0.000000,0.000000,24
-2.424909,-11.304210,0.000000,0.000000,24
-2.417339,-11.297178,0.000000,0.000000,24
-2.417670,-11.297136,0.000000,0.000000,24
-2.418175,-11.297168,0.000000,0.000000,24
-2.418815,-11.297215,0.000000,0.000000,24
-2.419535,-11.297232,0.000000,0.000000,24
-2.420250,-11.297191,0.000000,0.000000,24
-2.419806,-11.297079,0.000000,0.000000,24
-2.407978,-11.297506,0.000000,0.000000,24
-2.377955,-11.300708,0.000000,0.000000,24
-2.331055,-11.309332,0.000000,0.000000,24
-2.265528,-11.329912,0.000000,0.000000,24
-2.193350,-11.364581,0.000000,0.000000,24
-2.118069,-11.415300,0.000000,0.000000,24
-2.064204,-11.466063,0.000000,0.000000,24
-2.040359,-11.497418,0.000000,0.000000,24
-2.033059,-11.510665,0.000000,0.000000,24
-2.033351,-11.509127,0.000000,0.000000,24
-2.033470,-11.507811,0.000000,0.000000,24
-2.033491,-11.506724,0.000000,0.000000,24
-2.033460,-11.505893,0.000000,0.000000,24
-2.033354,-11.505489,0.000000,0.000000,24
-2.020778,-11.532820,0.000000,0.000000,24
-1.985337,-11.585677,0.000000,0.000000,24
-1.932151,-11.642703,0.000000,0.000000,24
-1.863697,-11.698016,0.000000,0.000000,24
-1.754654,-11.763193,0.000000,0.000000,24
-1.642258,-11.809499,0.000000,0.000000,24
-1.541616,-11.836575,0.000000,0.000000,24
-1.451336,-11.853156,0.000000,0.000000,24
-1.369331,-11.867027,0.000000,0.000000,24
-2.462103,-10.737064,0.000000,0.000000,25
-2.448202,-11.098955,0.000000,0.000000,25
-2.432065,-11.252736,0.000000,0.000000,25
-2.417375,-11.319771,0.000000,0.000000,25
-2.417817,-11.319293,0.000000,0.000000,25
-2.419065,-11.317966,0.000000,0.000000,25
-2.420940,-11.316611,0.000000,0.000000,25
-2.423326,-11.315542,0.000000,0.000000,25
-2.425914,-11.314894,0.000000,0.000000,25
-2.428470,-11.314574,0.000000,0.000000,25
-2.430850,-11.314578,0.000000,0.000000,25
-2.432812,-11.314860,0.000000,0.000000,25
-2.434222,-11.315240,0.000000,0.000000,25
-2.435083,-11.315507,0.000000,0.000000,25
-2.435523,-11.315539,0.000000,0.000000,25
-2.433900,-11.313535,0.000000,0.000000,25
-2.424909,-11.304210,0.000000,0.000000,25
-2.417339,-11.297178,0.000000,0.000000,25
-2.417670,-11.297136,0.000000,0.000000,25
-2.418175,-11.297168,0.000000,0.000000,25
-2.418815,-11.297215,0.000000,0.000000,25
-2.419535,-11.297232,0.000000,0.000000,25
-2.420250,-11.297191,0.000000,0.000000,25
-2.419806,-11.297079,0.000000,0.000000,25
-2.407978,-11.297506,0.000000,0.000000,25
-2.377955,-11.300708,0.000000,0.000000,25
-2.331055,-11.309332,0.000000,0.000000,25
-2.265528,-11.329912,0.000000,0.000000,25
-2.193350,-11.364581,0.000000,0.000000,25
-2.118069,-11.415300,0.000000,0.000000,25
-2.064204,-11.466063,0.000000,0.000000,25
-2.040359,-11.497418,0.000000,0.000000,25
-2.033059,-11.510665,0.000000,0.000000,25
-2.033351,-11.509127,0.000000,0.000000,25
-2.033470,-11.507811,0.000000,0.000000,25
-2.033491,-11.506724,0.000000,0.000000,25
-2.033460,-11.505893,0.000000,0.000000,25
-2.033354,-11.505489,0.000000,0.000000,25
-2.020778,-11.532820,0.000000,0.000000,25
-1.985337,-11.585677,0.000000,0.000000,25
-1.932151,-11.642703,0.000000,0.000000,25
-1.863697,-11.698016,0.000000,0.000000,25
-1.754654,-11.763193,0.000000,0.000000,25
-1.642258,-11.809499,0.000000,0.000000,25
