transformed_plan_position_x,transformed_plan_position_y,transformed_plan_orientation_z,transformed_plan_orientation_w
-2.462103,-10.737064,-0.703162,0.711030
-2.479801,-10.594258,-0.655896,0.754852
-2.476311,-10.619013,-0.656650,0.754195
-2.472921,-10.643784,-0.657155,0.753756
-2.469495,-10.668547,-0.657115,0.753790
-2.466102,-10.693315,-0.656388,0.754424
-2.462580,-10.718066,-0.654786,0.755814
-2.458975,-10.742805,-0.652822,0.757511
-2.455198,-10.767518,-0.620884,0.783903
-2.447562,-10.791323,-0.589536,0.807742
-2.439954,-10.815137,-0.590205,0.807254
-2.432396,-10.838967,-0.590495,0.807041
-2.424822,-10.862792,-0.590308,0.807178
-2.417242,-10.886615,-0.589861,0.807505
-2.409615,-10.910424,-0.583828,0.811877
-2.401329,-10.934012,-0.578406,0.815749
-2.393071,-10.957609,-0.578828,0.815450
-2.384833,-10.981211,-0.579041,0.815299
-2.376600,-11.004817,-0.579020,0.815314
-2.368359,-11.028419,-0.578835,0.815445
-2.360105,-11.052017,-0.578475,0.815700
-2.351823,-11.075606,-0.577454,0.816424
-2.343450,-11.099162,-0.576555,0.817058
-2.335064,-11.122714,-0.576299,0.817239
-2.326662,-11.146259,-0.575807,0.817586
-2.318220,-11.169791,-0.575113,0.818074
-2.309738,-11.193307,-0.574221,0.818701
-2.301193,-11.216802,-0.577787,0.816188
-2.293121,-11.240464,-0.581210,0.813754
-2.284973,-11.264098,-0.579611,0.814894
-2.276717,-11.287696,-0.577228,0.816583
-2.268293,-11.311234,-0.574041,0.818826
-2.259669,-11.334699,-0.570156,0.821536
-2.250801,-11.358073,-0.578671,0.815561
-2.243161,-11.381877,-0.585767,0.810480
-2.235114,-11.405547,-0.578141,0.815937
-2.226586,-11.429048,-0.569168,0.822221
-2.217510,-11.452342,-0.558774,0.829320
-2.207811,-11.475384,-0.546681,0.837341
-2.197398,-11.498112,-0.552456,0.833542
-2.188341,-11.521413,-0.555737,0.831358
-2.178287,-11.544302,-0.535990,0.844224
-2.167076,-11.566647,-0.513231,0.858251
-2.154637,-11.588333,-0.489764,0.871855
-2.141072,-11.609333,-0.476350,0.879256
-2.127327,-11.630216,-0.461661,0.887057
-2.112397,-11.650268,-0.435195,0.900336
-2.096282,-11.669380,-0.412379,0.911012
-2.079409,-11.687829,-0.388775,0.921333
-2.061413,-11.705182,-0.359795,0.933031
-2.042372,-11.721382,-0.333339,0.942807
-2.022537,-11.736599,-0.306406,0.951901
-2.001781,-11.750534,-0.281417,0.959586
-1.980466,-11.763598,-0.255513,0.966806
-1.958333,-11.775224,-0.234717,0.972064
-1.935977,-11.786413,-0.211068,0.977471
-1.912823,-11.795840,-0.176713,0.984262
-1.889123,-11.803798,-0.151765,0.988417
-1.865135,-11.810838,-0.133281,0.991078
-1.840907,-11.817005,-0.114957,0.993370
-1.816465,-11.822256,-0.107934,0.994158
-1.792073,-11.827735,-0.106845,0.994276
-1.767608,-11.832879,-0.096202,0.995362
-1.743003,-11.837310,-0.078712,0.996897
-1.718237,-11.840724,-0.064034,0.997948
-1.693415,-11.843699,-0.052027,0.998646
-1.668513,-11.845918,-0.042092,0.999114
-1.643593,-11.847905,-0.033022,0.999455
-1.618628,-11.849219,-0.026290,0.999654
-1.593663,-11.850533,-0.026775,0.999641
-1.568699,-11.851895,-0.027474,0.999623
-1.543738,-11.853280,-0.028008,0.999608
-1.518778,-11.854696,-0.029323,0.999570
-1.493824,-11.856211,-0.031231,0.999512
-1.468875,-11.857817,-0.034673,0.999399
-1.443945,-11.859676,-0.035365,0.999374
-1.419001,-11.861351,-0.040946,0.999161
-1.394118,-11.863766,-0.056853,0.998383
-1.369331,-11.867027,-0.090750,0.995874
